timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,207.37914,278.58298,145.61063,768.0,4070.385713586048
921600,286.5642,327.80695,231.55533,768.0,5664.518375529116
1382400,305.34985,330.02927,276.4725,768.0,6528.613075402356
1843200,303.35715,335.64056,268.25067,768.0,6654.36537637407
2304000,306.6363,330.946,278.1403,768.0,7060.593576569418
2764800,310.23932,331.3904,281.38928,768.0,7363.094756786338
3225600,310.52725,334.33502,279.24854,768.0,7328.412481771681
3686400,310.74954,330.97372,286.94434,768.0,7535.094914834456
4147200,311.5368,336.30734,283.1376,768.0,7703.437596185559
4608000,311.40338,330.58487,288.44467,768.0,7847.682587666187
5068800,309.9438,340.89062,283.4996,768.0,7788.058815202768
5529600,310.70526,332.19604,285.724,768.0,7903.252475092748
5990400,311.46225,331.33493,286.97385,768.0,8004.462235893279
6451200,311.5117,333.39053,284.75012,768.0,7946.032233105002
6912000,312.0145,333.05728,293.30588,768.0,8030.521208377365
7372800,311.63474,338.4739,290.05725,768.0,8105.995053272887
7833600,311.77194,333.83505,285.75006,768.0,8052.1980617314575
8294400,312.0291,335.64056,291.91693,768.0,8120.165928530853
8755200,311.51733,334.3073,288.19458,768.0,8181.470694965401
9216000,311.9414,332.335,294.66702,768.0,8237.27796478021
9676800,312.47974,335.14053,293.63922,768.0,8186.528815930636
10137600,312.354,338.4739,289.91687,768.0,8237.511683139357
10598400,311.74237,342.02875,293.1392,768.0,8284.435466399796
11059200,312.87323,352.8068,289.58353,768.0,8238.198233954805
11520000,312.90005,334.16843,289.91687,768.0,8282.003538789708
11980800,311.77982,330.91818,290.8891,768.0,8322.590813327008
12441600,311.88177,332.2793,290.33353,768.0,8279.694187968918
12902400,311.73163,335.64056,288.61127,768.0,8317.647048089542
13363200,312.3786,333.66833,291.61136,768.0,8353.134467794296
13824000,311.96454,330.91815,291.83356,768.0,8386.541987183942
14284800,311.59674,329.307,289.58353,768.0,8347.197194900698
14745600,312.59692,333.36276,294.97256,768.0,8378.53338425704
15206400,312.0897,338.44614,289.58353,768.0,8408.40451446148
15667200,312.69528,333.72397,290.86133,768.0,8372.348587171264
16128000,312.514,332.80722,293.417,768.0,8400.707748142935
16588800,311.94827,334.80722,283.3333,768.0,8427.744303415633
17049600,311.93973,337.11288,289.55573,768.0,8392.804913105181
17510400,312.22067,340.89062,292.00024,768.0,8418.938721502915
17971200,311.72424,329.946,292.4447,768.0,8444.709044250198
18432000,312.11963,331.5293,292.86142,768.0,8468.691292272408
18892800,311.99658,335.14053,291.278,768.0,8438.159390775423
19353600,311.90356,332.91833,290.00018,768.0,8461.218282926326
19814400,312.485,333.83502,291.3058,768.0,8484.158854240624
