timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,406.2647,439.84964,364.18887,768.0,4350.54316111922
921600,477.6493,505.51492,448.20374,768.0,5850.388580498561
1382400,493.99573,521.4984,465.9739,768.0,6614.506838450317
1843200,509.94434,536.63983,486.39343,768.0,6658.042644619111
2304000,504.09027,529.93805,481.00662,768.0,6997.259475634184
2764800,518.893,540.09827,497.689,768.0,7255.939824853386
3225600,528.5808,549.6923,508.53162,768.0,7183.047160593232
3686400,538.574,556.295,522.6163,768.0,7370.657351090351
4147200,538.41,557.55994,516.4357,768.0,7523.802223806559
4608000,539.9671,559.1508,518.7278,768.0,7651.683614986932
5068800,540.7027,559.3131,522.15576,768.0,7577.398352939058
5529600,541.19806,559.27515,523.8221,768.0,7679.773726494158
5990400,543.1922,562.61816,524.2836,768.0,7768.384238502732
6451200,548.3215,565.0452,533.0149,768.0,7704.7208504239
6912000,547.4415,561.6299,532.7451,768.0,7780.803944789948
7372800,547.85455,562.8611,530.62885,768.0,7848.066391206608
7833600,547.6346,564.7023,526.8525,768.0,7784.895236053242
8294400,548.8096,567.3838,525.69836,768.0,7842.62648384317
8755200,545.57135,569.98114,527.38513,768.0,7894.969029136935
9216000,549.77545,566.9229,531.2166,768.0,7944.308930648837
9676800,551.63824,569.92957,533.5093,768.0,7887.213093508029
10137600,554.9566,571.6224,533.25214,768.0,7931.836142040456
10598400,557.65546,576.1673,541.7848,768.0,7972.772275966559
11059200,556.2149,580.9585,540.1588,768.0,7920.158680796033
11520000,558.78613,580.4621,533.06506,768.0,7957.358375329023
11980800,562.43713,586.04083,543.61816,768.0,7992.025878495648
12441600,564.3103,585.76215,546.2984,768.0,7945.035328874701
12902400,571.8873,592.31915,549.0431,768.0,7978.547049286039
13363200,584.5438,609.7532,558.8865,768.0,8010.476468554676
13824000,585.45636,607.38586,566.41364,768.0,8040.6630925272275
14284800,595.1164,618.55865,576.1516,768.0,7999.863709131479
14745600,596.5175,619.4135,577.91656,768.0,8028.542856353168
15206400,600.1524,620.6017,583.2162,768.0,8054.444734664081
15667200,603.5345,620.40533,586.1618,768.0,8017.938863354171
16128000,607.0437,625.5519,588.43225,768.0,8044.079785743878
16588800,604.10144,623.8996,584.8397,768.0,8068.706903383946
17049600,607.0324,623.2655,586.6653,768.0,8033.904492716553
17510400,601.1247,618.5786,581.5472,768.0,8057.243309479604
17971200,610.43915,628.35583,594.4548,768.0,8079.769748466141
18432000,611.2692,632.99963,594.16907,768.0,8101.174964460921
18892800,614.75385,633.2099,594.56024,768.0,8067.588927132864
19353600,617.7839,637.83276,599.0289,768.0,8087.991835436444
19814400,615.2278,631.2958,597.81396,768.0,8107.93766554404
20275200,619.4891,635.34784,596.09,768.0,8078.491386018724
20736000,621.58563,641.37744,604.783,768.0,8097.594725232501
