timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,-0.025,1.0,-1.0,768.0,4931.569048038371
921600,-0.0033333334,1.0,-3.0,768.0,6524.644535693643
1382400,0.028333334,1.0,-2.0,768.0,7329.6937416784995
1843200,-0.005,1.0,-1.0,768.0,7405.176646747259
2304000,0.038333334,1.0,-1.0,768.0,7786.90231189073
2764800,0.0033333334,1.0,-1.0,768.0,8066.314627741792
3225600,0.0016666667,1.0,-1.0,768.0,8012.53554822269
3686400,0.005,1.0,-1.0,768.0,8201.147835774873
4147200,0.0016666667,1.0,-1.0,768.0,8348.044680543167
4608000,0.0,0.0,0.0,768.0,8472.581758857312
5068800,0.0016666667,1.0,0.0,768.0,8395.481612463065
5529600,0.0033333334,1.0,-1.0,768.0,8494.927653922561
5990400,0.0,0.0,0.0,768.0,8580.744292111194
6451200,0.0,0.0,0.0,768.0,8504.92710509483
6912000,0.0,0.0,0.0,768.0,8575.524335714188
7372800,0.0,0.0,0.0,768.0,8639.104092463156
7833600,0.0,0.0,0.0,768.0,8566.305740145692
8294400,0.0,0.0,0.0,768.0,8621.505625924978
8755200,0.0033333334,1.0,0.0,768.0,8667.161993497626
9216000,-0.0016666667,1.0,-1.0,768.0,8703.908770291278
9676800,-0.0016666667,0.0,-1.0,768.0,8623.692831709497
10137600,-0.01,1.0,-1.0,768.0,8661.005880693989
10598400,0.0033333334,2.0,-1.0,768.0,8689.84909206675
11059200,0.016666668,4.0,-1.0,768.0,8608.26938745548
11520000,0.0,1.0,-1.0,768.0,8632.935998153513
11980800,0.023333333,2.0,-1.0,768.0,8659.885023867693
12441600,0.023333333,1.0,-1.0,768.0,8583.328091878773
12902400,0.02,1.0,-1.0,768.0,8606.91719873852
13363200,0.025,1.0,-1.0,768.0,8625.64042721262
13824000,0.05166667,5.0,-1.0,768.0,8642.223753517848
14284800,0.05166667,6.0,-6.0,768.0,8570.864639710648
14745600,0.041666668,3.0,-2.0,768.0,8585.789378892148
15206400,0.033333335,3.0,-1.0,768.0,8601.005285844027
15667200,0.08,1.0,-1.0,768.0,8541.251303458272
16128000,0.06666667,3.0,-1.0,768.0,8559.271811484357
16588800,0.086666666,2.0,-5.0,768.0,8574.633891114601
17049600,0.09833334,4.0,-7.0,768.0,8519.535320396528
17510400,0.1,3.0,-1.0,768.0,8535.00435070283
17971200,0.09833334,1.0,-1.0,768.0,8550.703127773311
18432000,0.07666667,6.0,-1.0,768.0,8564.607779553595
18892800,0.18,1.0,-1.0,768.0,8514.119669470127
19353600,0.18666667,1.0,-1.0,768.0,8529.110916635
19814400,0.16833334,1.0,-1.0,768.0,8543.592156223105
