run_id,final_state,target_character,pe,gpt_model,branch_factor,exp_name,evaluator,total_iterations,n_self_alignment,feedback_type,feedback_input_type,total_timesteps,n_aux_worst,n_aux_best,reward_feature,fewshot,problem,seed,Evaluation/llm_iteration,Evaluation/acc_imp_perc,Evaluation/exist_imp_perc,Evaluation/reach_imp_perc,Evaluation/path_length,Evaluation/fn_imp_perc,Evaluation/fp_imp_perc,Evaluation/tn_imp_perc,Evaluation/tp_imp_perc,Evaluation/solvability,Evaluation/playability,score,Evaluation/naive_playability
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-6,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,6,3,0.0,0.0666666701436042,0.0,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-6,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,6,4,0.0,0.0,0.0,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-6,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,6,5,0.0,0.0,0.0,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-6,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,6,6,0.0777777880430221,0.1666666716337204,0.1666666716337204,26.000001907348633,2.766666889190674,0.0,0.2000000178813934,0.0333333350718021,0.1000000089406967,1.0,0.0777777880430221,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-5,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,1,0.8000000715255737,1.0,1.0,26.000001907348633,0.6000000238418579,0.0,1.6000001430511477,0.8000000715255737,0.8000000715255737,1.0,0.8000000715255737,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-5,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,2,0.0,1.0,0.1666666716337204,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-5,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,3,0.0,1.0,0.1666666716337204,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-5,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,4,0.0,0.5333333611488342,0.0666666701436042,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-5,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,5,0.0,0.5333333611488342,0.0666666701436042,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-1_1_s-5,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,6,0.0333333350718021,0.6666666865348816,0.2000000178813934,26.0,2.9000000953674316,0.0,0.0666666701436042,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.0333333350718021,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-1,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,1,1,0.0,0.5666667222976685,0.2000000178813934,26.44444465637207,3.000000238418579,0.0,0.0,0.0,0.0,0.3000000119209289,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-1,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,1,2,0.1555555611848831,1.0,0.7000000476837158,28.13333511352539,1.533333420753479,1.0,0.0,0.4666666984558105,0.4666666984558105,0.5,0.1555555611848831,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-1,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,1,3,0.1555555611848831,0.9000000357627869,0.7666667103767395,26.700000762939453,1.3333333730697632,1.2000000476837158,0.0,0.4666666984558105,0.6000000238418579,0.6666666865348816,0.1555555611848831,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-1,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,1,4,0.1555555611848831,0.9000000357627869,0.7666667103767395,26.700000762939453,1.3333333730697632,1.2000000476837158,0.0,0.4666666984558105,0.6000000238418579,0.6666666865348816,0.1555555611848831,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-1,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,1,5,0.0111111123114824,0.8333333730697632,0.5333333611488342,27.600000381469727,2.633333444595337,0.3333333432674408,0.0,0.0333333350718021,0.1666666716337204,0.1666666716337204,0.0111111123114824,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-1,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,1,6,0.0111111123114824,0.8333333730697632,0.5333333611488342,27.600000381469727,2.633333444595337,0.3333333432674408,0.0,0.0333333350718021,0.1666666716337204,0.1666666716337204,0.0111111123114824,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-5,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,1,0.0,0.7000000476837158,0.0333333350718021,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-5,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,2,0.0222222246229648,0.6833333969116211,0.3833333551883697,26.80000114440918,2.933333396911621,0.0,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.1666666716337204,0.0222222246229648,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-5,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,3,0.0222222246229648,0.550000011920929,0.1500000059604644,26.0,2.933333396911621,0.0,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.0222222246229648,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-5,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,4,0.0222222246229648,0.550000011920929,0.1500000059604644,26.0,2.933333396911621,0.0,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.0222222246229648,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-5,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,5,0.1000000089406967,0.8166667222976685,0.6000000238418579,26.5,2.700000047683716,0.0,0.1333333402872085,0.1666666716337204,0.1333333402872085,0.4000000357627868,0.1000000089406967,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b1w0_chr-2_1_s-5,finished,2,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,0,1,array,False,dungeon3,5,6,0.0222222246229648,0.6333333849906921,0.316666692495346,26.72727394104004,2.933333396911621,0.0,0.0333333350718021,0.0333333350718021,0.0333333350718021,0.3666666746139526,0.0222222246229648,
pe-got_it-6_fit-hr_exp-aux_t-sce_aux-b0w1_chr-1_1_s-2,finished,1,got,gpt-4o,2,aux,hr,6,0,default,array,50000000,1,0,array,False,dungeon3,2,1,0.0,1.0,0.3000000119209289,0.0,3.000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,
