timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,-2348.4102,-1450.3002,-3186.002,768.0,4912.578044905126
921600,48.26328,429.14972,-467.90295,768.0,6360.475427314993
1382400,844.2449,1102.5011,497.05,768.0,7062.159381467887
1843200,1057.2869,1284.6509,824.5481,768.0,7049.025421168552
2304000,1082.8362,1263.1469,869.74835,768.0,7377.324047183675
2764800,1099.281,1288.9943,860.09845,768.0,7613.702149583735
3225600,1084.05,1334.8989,896.4469,768.0,7520.984039935053
3686400,1098.286,1253.8923,820.7009,768.0,7684.414783822554
4147200,1100.0375,1311.3441,893.29675,768.0,7817.001383989883
4608000,921.97156,1170.5491,668.0487,768.0,7925.263144306173
5068800,881.7441,1106.8561,666.2983,768.0,7830.260247204787
5529600,1010.94635,1226.6511,791.9518,768.0,7919.234174592163
5990400,1076.6099,1276.1925,846.80225,768.0,7997.307074499423
6451200,1062.6575,1276.6528,860.40125,768.0,7917.012687146207
6912000,1062.4167,1300.792,766.25226,768.0,7983.23580083302
7372800,1059.5577,1281.7992,792.4998,768.0,8043.20932203669
7833600,1091.7285,1281.5939,853.6528,768.0,7973.54228752599
8294400,1115.0248,1326.1434,882.54926,768.0,8027.08665553386
8755200,1102.8556,1288.7919,909.8009,768.0,8075.582052352805
9216000,1098.3279,1331.2031,826.0485,768.0,8120.127680446113
9676800,1130.8667,1298.6521,932.8463,768.0,8059.457966274854
10137600,1092.851,1300.4421,869.6982,768.0,8100.142481923594
10598400,1046.3253,1272.7974,806.4996,768.0,8137.614695561522
11059200,1099.9827,1286.8004,873.35016,768.0,8083.48271757891
11520000,1117.6294,1333.6932,921.99664,768.0,8118.545646031331
11980800,1031.3396,1242.3505,781.84937,768.0,8150.947756238755
12441600,1093.4359,1291.8934,843.1502,768.0,8102.1508439318495
12902400,1118.2961,1341.0431,879.94836,768.0,8133.293895936425
13363200,1129.3378,1346.2527,869.2468,768.0,8162.243355722892
13824000,1136.6119,1334.7932,920.6976,768.0,8189.714040016161
14284800,1132.5974,1334.0431,949.1473,768.0,8147.140253479577
14745600,1139.9484,1325.7432,964.5969,768.0,8172.975603095758
15206400,1137.2528,1308.9434,930.3475,768.0,8197.571694342269
15667200,1134.0518,1323.8433,921.49744,768.0,8158.195496192766
16128000,1136.877,1324.1433,947.89716,768.0,8181.780665941173
16588800,1128.218,1327.7433,916.4976,768.0,8204.244608214167
17049600,1142.0586,1318.7433,969.7471,768.0,8168.945113379832
17510400,1137.5773,1328.1932,919.9476,768.0,8192.723142456764
17971200,1138.1733,1329.5432,944.29724,768.0,8215.393190552613
18432000,1134.8821,1350.793,921.8978,768.0,8237.047876849278
18892800,1139.8663,1329.5432,921.99744,768.0,8205.387265462921
19353600,1139.1891,1323.5933,953.24713,768.0,8225.400397854712
19814400,1136.4169,1311.0935,942.3474,768.0,8244.929885366722
