timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,746.4255,758.0013,734.90454,768.0,4249.890660419503
921600,740.7394,756.2969,726.1328,768.0,5265.664474737839
1382400,755.4261,768.43695,740.6906,768.0,5735.909917910897
1843200,754.0373,768.7812,740.87177,768.0,5722.9255555038335
2304000,757.6584,770.03595,745.62274,768.0,5934.110031161345
2764800,760.2529,773.007,744.5525,768.0,6086.036733236373
3225600,764.14594,780.9533,751.4635,768.0,6040.672784234907
3686400,764.30066,777.9221,753.5162,768.0,6144.220745655114
4147200,770.85364,783.8299,756.81445,768.0,6230.448645661923
4608000,773.3492,785.96606,755.8184,768.0,6301.722350445063
5068800,776.2335,790.40765,763.6586,768.0,6257.478580367095
5529600,774.9027,789.9421,763.52496,768.0,6315.450085043826
5990400,770.47076,782.79736,756.9969,768.0,6361.709112277177
6451200,778.6435,788.88184,768.9633,768.0,6321.197286281554
6912000,779.5256,791.70026,768.62573,768.0,6364.824207965259
7372800,783.2813,794.577,770.9543,768.0,6404.22150070202
7833600,786.76764,797.0209,776.7736,768.0,6370.667268809843
8294400,785.29095,796.333,773.1287,768.0,6406.48465981855
8755200,785.7489,795.37427,770.69507,768.0,6438.756987250374
9216000,786.3143,797.353,776.74554,768.0,6468.802783598743
9676800,786.0472,795.3558,776.4351,768.0,6438.417632149102
10137600,785.7583,795.3523,773.20703,768.0,6464.8076916722885
10598400,787.1008,797.04614,777.87067,768.0,6489.314848882433
11059200,788.30426,797.2267,774.53894,768.0,6463.755735915042
11520000,787.76575,797.5523,777.9443,768.0,6486.186769941299
11980800,788.07654,798.2515,777.8618,768.0,6507.95348346526
12441600,789.27747,798.5334,780.1528,768.0,6484.494163012219
12902400,788.8331,798.12244,780.1304,768.0,6504.467264855631
13363200,790.4681,800.76624,781.4858,768.0,6522.962256304658
13824000,789.907,800.22723,778.33136,768.0,6540.265018729795
14284800,790.19183,800.8075,777.8975,768.0,6516.115062869344
14745600,791.14923,801.7507,782.00366,768.0,6532.471301669751
15206400,790.1067,801.57886,779.4041,768.0,6548.541202519402
15667200,791.5561,804.3812,780.09784,768.0,6528.9721132502655
16128000,792.0006,801.43726,782.12683,768.0,6544.251408198776
16588800,791.3343,803.47797,779.5612,768.0,6558.163244254251
17049600,789.73987,800.55475,779.23126,768.0,6539.38139561056
17510400,793.2833,805.79376,785.0136,768.0,6553.2920460503965
17971200,793.01666,802.2508,783.2705,768.0,6566.149086721437
18432000,790.81854,800.86456,781.29865,768.0,6579.080188241857
18892800,790.7484,801.4407,781.19775,768.0,6561.422770752944
19353600,790.8887,800.89404,781.7682,768.0,6572.99235223562
19814400,789.97156,798.4937,781.3699,768.0,6584.947442689895
20275200,791.7297,800.6005,781.4089,768.0,6568.81059307079
20736000,793.6156,802.5973,784.6809,768.0,6579.361474020405
21196800,793.35187,806.3709,783.3315,768.0,6589.77991102798
21657600,795.1119,805.50305,782.72723,768.0,6572.956729687669
22118400,795.6068,805.8991,785.7741,768.0,6583.266337444649
22579200,797.5992,807.484,786.17017,768.0,6592.562251450653
23040000,801.5074,810.9472,794.0403,768.0,6601.414994458535
23500800,801.50134,810.0072,791.37555,768.0,6585.483526399096
23961600,800.6122,808.8309,789.5994,768.0,6594.166163238391
24422400,804.16766,814.2735,793.7088,768.0,6602.670732800616
24883200,806.45483,813.49994,797.9359,768.0,6587.574903936562
25344000,807.85736,816.0083,798.6318,768.0,6595.777685160207
25804800,804.56464,815.85284,794.53613,768.0,6603.8891023949855
26265600,808.37213,818.0135,799.0847,768.0,6590.239115543526
26726400,807.5882,818.72565,793.95886,768.0,6598.050131300306
27187200,807.6092,817.1724,797.8253,768.0,6605.205130502215
27648000,808.90906,817.23535,799.56305,768.0,6612.1139446077605
28108800,810.3891,817.86365,802.31464,768.0,6597.887211198352
28569600,809.9029,819.8841,799.05255,768.0,6604.695199954765
29030400,810.9474,819.7648,797.466,768.0,6611.314806942233
29491200,814.2393,822.33704,802.1762,768.0,6598.421492174371
29952000,815.10675,822.7001,806.84174,768.0,6604.951153003676
30412800,815.3472,823.4392,804.3877,768.0,6611.192046041916
30873600,810.6741,818.7892,799.54895,768.0,6598.687459902715
31334400,812.97955,821.02313,804.6609,768.0,6605.454102881722
31795200,815.6006,822.56036,806.5246,768.0,6611.249541943083
32256000,816.44275,824.81476,806.98364,768.0,6617.30195058458
32716800,818.80817,827.4755,809.48157,768.0,6605.365207950408
33177600,821.5468,828.69763,811.2704,768.0,6611.5399517404685
33638400,812.1901,820.5552,800.1775,768.0,6617.162730976418
34099200,808.39636,815.71674,801.3028,768.0,6604.000297948108
34560000,812.3518,820.2257,803.94073,768.0,6609.555383865682
35020800,818.6372,826.7969,812.7408,768.0,6615.153409227809
35481600,819.2776,827.50916,810.41034,768.0,6604.701844980866
35942400,823.1768,830.53265,814.79846,768.0,6610.778991404045
36403200,823.91815,832.7543,814.67236,768.0,6616.43891699308
36864000,825.32477,831.4891,818.2905,768.0,6621.790357101248
37324800,825.14655,833.4953,817.2672,768.0,6611.489372206759
