timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,456.0095,493.11328,409.60938,768.0,4089.722400951132
921600,530.1487,559.2344,497.23047,768.0,5606.501455105626
1382400,556.3446,583.71484,531.4961,768.0,6409.217945665563
1843200,570.6031,597.4375,543.375,768.0,6522.529782672144
2304000,569.79504,598.40234,545.8047,768.0,6888.959606633851
2764800,593.07324,614.10547,572.96094,768.0,7165.142168942424
3225600,592.35394,615.3164,570.89844,768.0,7119.8555438888425
3686400,601.90796,622.34375,582.375,768.0,7313.12942475949
4147200,601.60504,619.90625,575.25,768.0,7471.285165476832
4608000,604.64966,628.66797,580.4883,768.0,7603.529890590337
5068800,605.2248,626.8047,580.7617,768.0,7537.335363286354
5529600,595.5219,615.91016,575.21875,768.0,7638.276875110502
5990400,601.92694,624.625,580.6367,768.0,7727.4097644932
6451200,609.80676,631.1914,588.66406,768.0,7669.346441615912
6912000,611.96106,629.9336,592.20703,768.0,7747.061155837975
7372800,614.9166,632.3281,594.9531,768.0,7816.718726052968
7833600,611.91034,634.5039,589.5781,768.0,7758.569041546358
8294400,616.7712,636.6797,590.78125,768.0,7818.47474550043
8755200,617.36646,640.52344,596.08203,768.0,7872.8015450949715
9216000,624.46466,643.85156,603.1719,768.0,7923.872796535899
9676800,629.61676,650.6094,608.46484,768.0,7872.452224449494
10137600,633.06995,654.8672,605.03125,768.0,7918.585276906214
10598400,636.59955,656.22656,616.52734,768.0,7961.822187505045
11059200,640.1121,662.6992,613.03906,768.0,7915.499221032873
11520000,647.002,668.0742,623.5703,768.0,7955.555071769993
11980800,642.7371,667.08984,623.4492,768.0,7992.545163216429
12441600,647.63214,668.29297,624.0078,768.0,7950.694372017447
12902400,656.53046,677.8008,633.75,768.0,7985.13199283165
13363200,658.2531,678.0781,635.5117,768.0,8017.035670653529
13824000,659.9741,678.96875,642.58594,768.0,8047.343970337136
14284800,662.9183,682.15234,644.375,768.0,8007.513939960252
14745600,665.4897,683.7539,644.6953,768.0,8036.653080861663
15206400,665.667,685.65625,641.35547,768.0,8064.480410207515
15667200,670.2053,689.16016,652.2344,768.0,8027.289627537687
16128000,672.3595,690.8789,655.23047,768.0,8052.833594591323
16588800,671.1253,686.8633,651.8828,768.0,8077.841442452253
17049600,670.7872,689.6836,653.15234,768.0,8045.017145905751
17510400,677.4754,693.4844,660.6875,768.0,8068.661536326994
17971200,677.811,695.27344,659.6289,768.0,8091.3857528098415
18432000,674.71747,693.83594,656.6914,768.0,8113.320237292601
18892800,679.4225,698.47266,663.125,768.0,8082.723174999093
19353600,684.17365,699.3594,664.54297,768.0,8103.802390679006
19814400,684.21606,700.0586,664.0664,768.0,8123.938262213422
20275200,686.71564,705.1797,659.28125,768.0,8095.479235651771
20736000,685.08636,707.3672,668.03516,768.0,8114.351293708285
21196800,685.7517,702.15625,666.58984,768.0,8132.774182360793
21657600,684.2839,703.3242,662.03906,768.0,8104.667148797513
22118400,686.56116,709.66406,668.10156,768.0,8122.154262373607
22579200,687.2694,706.40234,668.0039,768.0,8138.998330502601
23040000,690.5749,706.2422,673.33594,768.0,8155.343746988696
23500800,691.8521,709.4883,668.96484,768.0,8128.679389941542
23961600,694.2955,710.10156,672.8789,768.0,8144.524259958742
24422400,692.8748,707.95703,671.89844,768.0,8159.806386661604
24883200,690.7238,707.14844,673.5469,768.0,8134.819025697216
25344000,685.13165,706.83984,666.27734,768.0,8149.699399512854
25804800,689.2341,707.83984,667.83984,768.0,8164.509851748158
26265600,672.46454,696.6211,641.26953,768.0,8141.256301741389
26726400,673.821,705.4297,639.33594,768.0,8155.529935161885
27187200,682.95184,703.1289,659.1836,768.0,8169.568300273265
27648000,682.9768,705.71875,658.5469,768.0,8183.102066674282
28108800,689.42065,706.2422,668.1914,768.0,8161.062915187762
28569600,684.7066,706.2578,661.15234,768.0,8174.412908388917
