timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,922.14325,965.34375,891.58594,768.0,4231.564796503701
921600,975.6565,1010.4414,944.08594,768.0,5304.081573065192
1382400,977.16815,1004.375,936.09766,768.0,5784.123576154734
1843200,957.24786,990.33594,928.0039,768.0,5783.581664407372
2304000,1038.535,1068.5273,1011.7344,768.0,6007.588280945206
2764800,1070.7247,1092.2168,1047.5,768.0,6167.194643553695
3225600,1081.1233,1105.2441,1058.832,768.0,6133.166020181094
3686400,1065.3837,1087.0098,1042.5352,768.0,6235.749898156619
4147200,1085.7806,1107.0059,1061.0781,768.0,6321.86932182598
4608000,1090.4904,1105.2832,1071.6309,768.0,6394.448628541985
5068800,1088.9609,1106.7109,1068.291,768.0,6352.5922116205775
5529600,1076.719,1095.084,1052.2812,768.0,6409.980422477746
5990400,1081.2773,1103.7598,1046.7461,768.0,6458.521157985958
6451200,1087.4082,1103.084,1068.0449,768.0,6420.321577022761
6912000,1085.0765,1100.5664,1066.1328,768.0,6464.005874909636
7372800,1096.7023,1111.3242,1083.3984,768.0,6502.420124448449
7833600,1092.4768,1110.6035,1073.8945,768.0,6466.5161716984985
8294400,1090.46,1107.6777,1071.3223,768.0,6500.287484291811
8755200,1099.884,1117.834,1080.6211,768.0,6531.020835133812
9216000,1097.4847,1114.1191,1079.5332,768.0,6558.016466854014
9676800,1105.1287,1120.1348,1091.7012,768.0,6527.44719971765
10137600,1106.9098,1121.1445,1092.1504,768.0,6553.718576261559
10598400,1108.3923,1119.9004,1095.4395,768.0,6577.292893055503
11059200,1106.7285,1123.6465,1093.3105,768.0,6550.237374412362
11520000,1110.8359,1124.2129,1095.1758,768.0,6573.066137416476
11980800,1110.5918,1124.1699,1093.9688,768.0,6593.688720566143
12441600,1110.5201,1123.4082,1096.7363,768.0,6569.275356540996
12902400,1111.9224,1123.166,1098.5156,768.0,6589.176275337162
13363200,1113.2322,1128.0039,1099.4336,768.0,6607.666647692098
13824000,1112.8038,1124.7539,1095.5117,768.0,6625.36223890239
14284800,1113.7402,1128.7695,1099.8184,768.0,6604.189343333919
14745600,1113.7761,1125.002,1098.7988,768.0,6620.581756014756
15206400,1113.6582,1128.5938,1097.7109,768.0,6635.983785149566
15667200,1113.805,1126.3262,1100.041,768.0,6615.901619393213
16128000,1114.0978,1126.5938,1102.0781,768.0,6630.6440956376455
16588800,1113.8397,1126.3086,1100.6602,768.0,6644.675378053005
17049600,1113.7516,1126.0586,1099.6113,768.0,6625.867922410261
17510400,1113.8969,1126.4043,1100.3262,768.0,6639.557494282481
17971200,1113.487,1125.5781,1100.6426,768.0,6652.562409196324
18432000,1114.0569,1126.7578,1099.127,768.0,6665.06904317256
18892800,1113.8368,1129.4707,1101.582,768.0,6647.848675838845
19353600,1113.8826,1127.0625,1099.418,768.0,6659.366247725872
19814400,1114.1206,1128.6699,1099.4941,768.0,6670.446182034431
