timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,765.7837,768.0,747.8207,768.0,4558.635767593405
921600,762.8097,769.0587,730.55676,768.0,6014.003116119669
1382400,760.8831,768.0,732.31177,768.0,6739.61234097706
1843200,765.7633,774.21014,740.6809,768.0,6712.392265863249
2304000,765.3659,770.0,743.5094,768.0,7043.428267299569
2764800,765.3265,781.42676,733.5374,768.0,7284.530815044644
3225600,766.40356,770.0,748.35986,768.0,7174.679180302298
3686400,766.29156,771.95935,745.0,768.0,7336.734736937121
4147200,766.7574,772.0,759.7356,768.0,7463.597145389176
4608000,766.5777,768.0,750.6803,768.0,7571.573482069819
5068800,766.59186,767.8629,755.4594,768.0,7470.804442062214
5529600,766.772,768.0,755.05273,768.0,7556.466279847034
5990400,764.59064,767.0,742.4823,768.0,7639.903994742447
6451200,766.722,768.0,758.7367,768.0,7556.361255275224
6912000,766.51117,768.0,755.2191,768.0,7622.885408296301
7372800,766.75867,773.7437,759.99023,768.0,7682.971539203379
7833600,766.77875,768.0,755.025,768.0,7608.277730129153
8294400,766.6013,768.0,755.3773,768.0,7661.909743292254
8755200,766.718,774.0,760.6316,768.0,7710.672880867637
9216000,766.7172,768.0,757.8285,768.0,7755.966910634855
9676800,766.7229,768.0,759.0317,768.0,7691.888921927604
10137600,766.77344,767.0,759.0492,768.0,7734.570736677324
10598400,766.80383,768.0,761.23047,768.0,7770.479679948634
11059200,766.8347,767.0,761.44727,768.0,7713.811936307551
11520000,766.76855,767.0,757.50037,768.0,7752.144719519204
11980800,766.8223,767.0,762.16565,768.0,7790.818410967081
12441600,766.8621,767.0,762.2902,768.0,7751.553605514195
12902400,766.88184,767.0,761.89526,768.0,7790.2612152624815
13363200,766.8994,768.0,761.0824,768.0,7826.508356467863
13824000,766.91656,768.0,762.5902,768.0,7861.227796630698
14284800,767.01666,770.0,762.98553,768.0,7828.999277260719
14745600,766.8569,771.0,763.0,768.0,7861.933327639172
15206400,766.9337,772.0,737.45667,768.0,7893.183750743692
15667200,766.9745,769.96094,763.66174,768.0,7861.533017259943
16128000,766.8174,769.7699,763.4457,768.0,7891.183363561971
16588800,766.9406,796.0,763.94415,768.0,7919.173181448589
17049600,766.9958,769.9199,763.8543,768.0,7890.712963283268
17510400,766.5838,768.0,737.641,768.0,7917.481261433178
17971200,766.8319,796.0,737.8981,768.0,7943.098375901503
18432000,766.92255,770.0,763.443,768.0,7967.7232481877745
18892800,766.935,768.0,763.4762,768.0,7940.649536707229
19353600,766.94244,768.0,765.1047,768.0,7963.982900712845
19814400,766.776,770.0,738.0,768.0,7986.332981617892
20275200,767.01556,770.0,762.6012,768.0,7960.754816782824
20736000,766.96765,770.0,763.25586,768.0,7981.235833797748
21196800,766.89514,770.0,763.0,768.0,8002.014256761567
21657600,766.813,770.0,762.975,768.0,7977.385072063217
22118400,766.817,770.0,761.0,768.0,7997.102593032589
22579200,766.89856,771.0,762.3859,768.0,8016.070826610319
23040000,766.9392,772.0,763.0,768.0,8034.425249887618
23500800,766.9568,771.9172,760.4105,768.0,8010.791232487507
23961600,766.9772,772.0,762.0988,768.0,8028.706367396468
24422400,766.92487,771.0,762.9828,768.0,8045.78012425049
24883200,766.88916,768.0,763.97656,768.0,8023.228419803207
25344000,766.9509,768.0,764.784,768.0,8039.82413691805
25804800,766.9987,770.0,762.0,768.0,8055.845337574327
26265600,766.8746,771.0,762.70435,768.0,8034.002239825034
26726400,766.88934,772.0,761.97266,768.0,8049.351195020848
27187200,767.00665,773.0,763.0,768.0,8064.356478552438
27648000,766.89197,770.0,763.9254,768.0,8078.571931348946
28108800,766.8136,770.0,762.6566,768.0,8058.0939072977135
28569600,766.8519,771.0,762.47815,768.0,8072.33695550043
29030400,766.932,771.0,762.0,768.0,8085.34705500264
29491200,766.92206,772.0,763.93243,768.0,8064.122776705423
29952000,766.9019,771.0,761.93475,768.0,8076.996483356642
