timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,-0.021666666,3.0,-1.0,768.0,4770.836347319005
921600,-0.013333334,1.0,-3.0,768.0,6375.653519276968
1382400,0.025,1.0,-1.0,768.0,7191.592729560418
1843200,-0.023333333,1.0,-1.0,768.0,7277.6969684639325
2304000,0.030000001,1.0,-1.0,768.0,7665.006837425688
2764800,-0.01,1.0,-1.0,768.0,7949.510967696709
3225600,-0.0033333334,1.0,-1.0,768.0,7901.786172392761
3686400,0.005,1.0,-1.0,768.0,8086.333990818128
4147200,0.0016666667,1.0,-1.0,768.0,8239.676559862473
4608000,0.0,0.0,0.0,768.0,8369.668481369352
5068800,0.0016666667,1.0,0.0,768.0,8294.486847764818
5529600,0.0,1.0,-1.0,768.0,8390.771134531504
5990400,0.005,1.0,-1.0,768.0,8465.159918309755
6451200,-0.005,1.0,-1.0,768.0,8350.085469931482
6912000,-0.011666667,3.0,-1.0,768.0,8408.866662223249
7372800,0.008333334,1.0,-1.0,768.0,8460.175217980102
7833600,-0.01,1.0,-1.0,768.0,8367.464311872796
8294400,-0.0016666667,1.0,-1.0,768.0,8412.878958779294
8755200,0.01,1.0,-1.0,768.0,8452.799359514458
9216000,0.0,1.0,-1.0,768.0,8485.883971245612
9676800,0.02,1.0,-1.0,768.0,8397.404359913624
10137600,-0.0033333334,1.0,-1.0,768.0,8430.827358454844
10598400,0.006666667,1.0,-1.0,768.0,8460.865676433263
11059200,0.013333334,8.0,-1.0,768.0,8383.215569842465
11520000,0.0016666667,3.0,-1.0,768.0,8410.027977506292
11980800,0.013333334,3.0,-6.0,768.0,8437.351707803733
12441600,0.023333333,3.0,-3.0,768.0,8378.178199349277
12902400,0.0033333334,1.0,-4.0,768.0,8408.510299762454
13363200,0.021666666,3.0,-3.0,768.0,8435.402597041742
13824000,0.013333334,1.0,-4.0,768.0,8459.343587170526
14284800,-0.005,3.0,-3.0,768.0,8406.328275108563
14745600,0.0033333334,3.0,-1.0,768.0,8431.402398163751
15206400,0.018333334,3.0,-4.0,768.0,8455.016439756766
15667200,0.015000001,4.0,-6.0,768.0,8403.702978817331
16128000,0.0,1.0,-2.0,768.0,8429.099992727748
16588800,0.04,5.0,-3.0,768.0,8455.16807391468
17049600,0.018333334,3.0,-6.0,768.0,8414.028099182322
17510400,0.018333334,2.0,-6.0,768.0,8437.20369196821
17971200,0.04,3.0,-3.0,768.0,8459.8783400926
18432000,0.083333336,5.0,-5.0,768.0,8478.996194590552
18892800,0.10333334,7.0,-1.0,768.0,8440.805286707826
19353600,0.12666667,3.0,-1.0,768.0,8461.64866977752
19814400,0.14500001,1.0,-1.0,768.0,8481.484890509422
